(aigym) PS D:\ksw_coding\python\openAI_gym> & C:/Users/kimz1/anaconda3/envs/aigym/python.exe D:\ksw_coding\python\openAI_gym\lunar_lander\action_out_model\lunar_lander_DQN_40-epsilon_tau_decay.py
Model: "sequential_1"
_________________________________________________________________
 Layer (type)                Output Shape              Param #
=================================================================
 dense_4 (Dense)             (None, 64)                576

 dense_5 (Dense)             (None, 64)                4160

 dense_6 (Dense)             (None, 64)                4160

 dense_7 (Dense)             (None, 4)                 260

=================================================================
Total params: 9,156
Trainable params: 9,156
Non-trainable params: 0
_________________________________________________________________
2023-05-18 18:09:15.942359: W tensorflow/c/c_api.cc:300] Operation '{name:'dense_7/bias/Assign' id:206 op device:{requested: '', assigned: ''} def:{{{node dense_7/bias/Assign}} = AssignVariableOp[_has_manual_control_dependencies=true, dtype=DT_FLOAT, validate_shape=false](dense_7/bias, dense_7/bias/Initializer/zeros)}}' was changed by setting attribute after it was run by a session. This mutation will have no effect, and will trigger an error in the future. Either don't modify nodes after running them or create a new session.
C:\Users\kimz1\anaconda3\envs\aigym\lib\site-packages\keras\engine\training_v1.py:2359: UserWarning: `Model.state_updates` will be removed in a future version. This property should not be used in TensorFlow 2.0, as `updates` are applied automatically.
  updates=self.state_updates,
2023-05-18 18:09:16.008028: W tensorflow/c/c_api.cc:300] Operation '{name:'dense_3/BiasAdd' id:97 op device:{requested: '', assigned: ''} def:{{{node dense_3/BiasAdd}} = BiasAdd[T=DT_FLOAT, _has_manual_control_dependencies=true, data_format="NHWC"](dense_3/MatMul, dense_3/BiasAdd/ReadVariableOp)}}' was changed by setting attribute after it was run by a session. This mutation will have no effect, and will trigger an error in the future. Either don't modify nodes after running them or create a new session.
2023-05-18 18:09:16.025792: W tensorflow/c/c_api.cc:300] Operation '{name:'dense_7/BiasAdd' id:211 op device:{requested: '', assigned: ''} def:{{{node dense_7/BiasAdd}} = BiasAdd[T=DT_FLOAT, _has_manual_control_dependencies=true, data_format="NHWC"](dense_7/MatMul, dense_7/BiasAdd/ReadVariableOp)}}' was changed by setting attribute after it was run by a session. This mutation will have no effect, and will trigger an error in the future. Either don't modify nodes after running them or create a new session.
2023-05-18 18:09:16.123874: W tensorflow/c/c_api.cc:300] Operation '{name:'loss/mul' id:115 op device:{requested: '', assigned: ''} def:{{{node loss/mul}} = Mul[T=DT_FLOAT, _has_manual_control_dependencies=true](loss/mul/x, loss/dense_3_loss/value)}}' was changed by setting attribute after it was run by a session. This mutation will have no effect, and will trigger an error in the future. Either don't modify nodes after running them or create a new session.
2023-05-18 18:09:16.139863: W tensorflow/c/c_api.cc:300] Operation '{name:'training/Adam/dense_3/bias/m/Assign' id:452 op device:{requested: '', assigned: ''} def:{{{node training/Adam/dense_3/bias/m/Assign}} = AssignVariableOp[_has_manual_control_dependencies=true, dtype=DT_FLOAT, validate_shape=false](training/Adam/dense_3/bias/m, training/Adam/dense_3/bias/m/Initializer/zeros)}}' was changed by setting attribute after it was run by a session. This mutation will have no effect, and will trigger an error in the future. Either don't modify nodes after running them or create a new session.
iter :     0/1000000  | R_sum -430.662 | R_mean -430.662 | eps 0.995
iter :     1/1000000  | R_sum -543.019 | R_mean -486.841 | eps 0.990
iter :     2/1000000  | R_sum -167.087 | R_mean -380.256 | eps 0.985
iter :     3/1000000  | R_sum -163.478 | R_mean -326.062 | eps 0.980
iter :     4/1000000  | R_sum -465.739 | R_mean -353.997 | eps 0.975
iter :     5/1000000  | R_sum -597.341 | R_mean -394.554 | eps 0.970
iter :     6/1000000  | R_sum -274.173 | R_mean -377.357 | eps 0.966
iter :     7/1000000  | R_sum -831.090 | R_mean -434.074 | eps 0.961
iter :     8/1000000  | R_sum -368.044 | R_mean -426.737 | eps 0.956
iter :     9/1000000  | R_sum -280.521 | R_mean -412.115 | eps 0.951
iter :    10/1000000  | R_sum -123.078 | R_mean -385.839 | eps 0.946
iter :    11/1000000  | R_sum -224.857 | R_mean -372.424 | eps 0.942
iter :    12/1000000  | R_sum -472.050 | R_mean -380.088 | eps 0.937
iter :    13/1000000  | R_sum -235.998 | R_mean -369.796 | eps 0.932
iter :    14/1000000  | R_sum -99.136 | R_mean -351.752 | eps 0.928
iter :    15/1000000  | R_sum -327.060 | R_mean -350.208 | eps 0.923
iter :    16/1000000  | R_sum -407.455 | R_mean -353.576 | eps 0.918
iter :    17/1000000  | R_sum -292.769 | R_mean -350.198 | eps 0.914
iter :    18/1000000  | R_sum -140.409 | R_mean -339.156 | eps 0.909
iter :    19/1000000  | R_sum -313.401 | R_mean -337.868 | eps 0.905
iter :    20/1000000  | R_sum -330.033 | R_mean -337.495 | eps 0.900
iter :    21/1000000  | R_sum -151.447 | R_mean -329.039 | eps 0.896
iter :    22/1000000  | R_sum -255.355 | R_mean -325.835 | eps 0.891
iter :    23/1000000  | R_sum -131.303 | R_mean -317.729 | eps 0.887
iter :    24/1000000  | R_sum -299.574 | R_mean -317.003 | eps 0.882
iter :    25/1000000  | R_sum -332.729 | R_mean -313.086 | eps 0.878
iter :    26/1000000  | R_sum -264.390 | R_mean -301.941 | eps 0.873
iter :    27/1000000  | R_sum -168.503 | R_mean -301.997 | eps 0.869
iter :    28/1000000  | R_sum -307.666 | R_mean -307.765 | eps 0.865
iter :    29/1000000  | R_sum -79.611 | R_mean -292.320 | eps 0.860
iter :    30/1000000  | R_sum -155.260 | R_mean -274.636 | eps 0.856
iter :    31/1000000  | R_sum -59.021 | R_mean -266.030 | eps 0.852
iter :    32/1000000  | R_sum 39.394 | R_mean -231.211 | eps 0.848
iter :    33/1000000  | R_sum 178.204 | R_mean -209.361 | eps 0.843
iter :    34/1000000  | R_sum -193.095 | R_mean -205.864 | eps 0.839
iter :    35/1000000  | R_sum -57.640 | R_mean -203.247 | eps 0.835
iter :    36/1000000  | R_sum 230.534 | R_mean -185.031 | eps 0.831
iter :    37/1000000  | R_sum -87.495 | R_mean -169.649 | eps 0.827
iter :    38/1000000  | R_sum -18.109 | R_mean -160.933 | eps 0.822
iter :    39/1000000  | R_sum -216.861 | R_mean -165.642 | eps 0.818
iter :    40/1000000  | R_sum -317.922 | R_mean -165.277 | eps 0.814
iter :    41/1000000  | R_sum -223.614 | R_mean -157.923 | eps 0.810
iter :    42/1000000  | R_sum -99.199 | R_mean -150.180 | eps 0.806
iter :    43/1000000  | R_sum -46.822 | R_mean -146.437 | eps 0.802
iter :    44/1000000  | R_sum -142.047 | R_mean -139.583 | eps 0.798
iter :    45/1000000  | R_sum -54.270 | R_mean -128.552 | eps 0.794
iter :    46/1000000  | R_sum -104.632 | R_mean -126.680 | eps 0.790
iter :    47/1000000  | R_sum -110.733 | R_mean -120.895 | eps 0.786
iter :    48/1000000  | R_sum -85.135 | R_mean -119.048 | eps 0.782
iter :    49/1000000  | R_sum -98.903 | R_mean -111.021 | eps 0.778
iter :    50/1000000  | R_sum -117.087 | R_mean -102.395 | eps 0.774
iter :    51/1000000  | R_sum -136.204 | R_mean -97.268 | eps 0.771
iter :    52/1000000  | R_sum -124.659 | R_mean -95.514 | eps 0.767
iter :    53/1000000  | R_sum -106.875 | R_mean -87.482 | eps 0.763
iter :    54/1000000  | R_sum -113.657 | R_mean -88.844 | eps 0.759
iter :    55/1000000  | R_sum -90.994 | R_mean -86.274 | eps 0.755
iter :    56/1000000  | R_sum -109.643 | R_mean -88.299 | eps 0.751
iter :    57/1000000  | R_sum -86.914 | R_mean -93.351 | eps 0.748
iter :    58/1000000  | R_sum -103.806 | R_mean -104.631 | eps 0.744
iter :    59/1000000  | R_sum -93.164 | R_mean -100.634 | eps 0.740
iter :    60/1000000  | R_sum -137.016 | R_mean -103.809 | eps 0.737
iter :    61/1000000  | R_sum -115.442 | R_mean -117.648 | eps 0.733
iter :    62/1000000  | R_sum -126.317 | R_mean -119.201 | eps 0.729
iter :    63/1000000  | R_sum -124.737 | R_mean -123.466 | eps 0.726
iter :    64/1000000  | R_sum -38.373 | R_mean -116.327 | eps 0.722
